
                  সোনা    রুপা    ব্রোঞ্জ
চীন           ১৫১    ১০৯    ৮৩
দক্ষিণ কোরিয়া ৭৯     ৭১     ৮৪
জাপান        ৪৭     ৭৬     ৭৬
কাজাখস্তান    ২৮     ২৩     ৩৩
ইরান          ২১     ১৮     ১৮
থাইল্যান্ড      ১২      ৭      ২৮
উত্তর কোরিয়া ১১      ১১      ১৪
ভারত         ১১      ৯      ৩৭
চীনা তাইপে   ১০     ১৮     ২৩
কাতার         ১০      ০       ৪
উজবেকিস্তান   ৯      ১৪     ২১
বাহরাইন       ৯      ৬      ৪
হংকং          ৬      ১২     ২৪
মালয়েশিয়া    ৫      ১৪     ১৪
সিঙ্গাপুর        ৫      ৬      ১৩
মঙ্গোলিয়া      ৫      ৪      ১২
ইন্দোনেশিয়া   ৪       ৫      ১১
কুয়েত          ৩      ৫      ৪
সৌদি আরব   ৩      ৩       ১
মিয়ানমার      ২       ১       ১
ভিয়েতনাম     ১      ১০     ২৫
ফিলিপাইন     ১       ৩      ১১
পাকিস্তান       ১       ১       ৩
তাজিকিস্তান    ১       ১       ৩
ইরাক          ১       ০       ৩
আমিরাত       ১       ০       ৩
শ্রীলঙ্কা         ১       ০       ১
কম্বোডিয়া      ১       ০       ০
ম্যাকাউ        ০       ৩      ৪
কিরগিজস্তান   ০       ২       ৪
জর্ডান          ০       ২       ২
তুর্কমেনিস্তান   ০       ১       ৫
বাংলাদেশ      ০       ১       ২
লাওস          ০       ১       ২
আফগানিস্তান  ০       ১       ১
লেবানন        ০       ১       ১
নেপাল         ০       ০       ১  
